StockCode,InvoiceDate,Quantity
85123A,12/1/2010 8:26,6
85123A,12/1/2010 9:02,6
85123A,12/1/2010 9:32,6
85123A,12/1/2010 10:19,64
85123A,12/1/2010 10:39,32
85123A,12/1/2010 10:51,6
85123A,12/1/2010 11:21,4
85123A,12/1/2010 11:33,8
85123A,12/1/2010 12:36,6
85123A,12/1/2010 12:43,3
85123A,12/1/2010 14:11,32
85123A,12/1/2010 14:32,4
85123A,12/1/2010 16:01,128
85123A,12/1/2010 16:11,128
85123A,12/1/2010 16:52,6
85123A,12/1/2010 17:06,9
85123A,12/1/2010 17:22,6
85123A,12/2/2010 8:32,6
85123A,12/2/2010 8:34,6
85123A,12/2/2010 9:29,6
85123A,12/2/2010 9:41,6
85123A,12/2/2010 9:44,6
85123A,12/2/2010 10:54,6
85123A,12/2/2010 10:56,6
85123A,12/2/2010 12:23,12
85123A,12/2/2010 12:25,6
85123A,12/2/2010 13:49,1
85123A,12/2/2010 14:04,12
85123A,12/2/2010 14:06,6
85123A,12/2/2010 14:42,12
85123A,12/2/2010 15:24,6
85123A,12/2/2010 15:26,12
85123A,12/2/2010 15:40,32
85123A,12/2/2010 17:24,160
85123A,12/2/2010 17:48,6
85123A,12/2/2010 18:15,2
85123A,12/3/2010 10:33,2
85123A,12/3/2010 10:43,2
85123A,12/3/2010 11:19,2
85123A,12/3/2010 11:36,5
85123A,12/3/2010 14:18,7
85123A,12/3/2010 14:54,6
85123A,12/3/2010 15:19,1
85123A,12/5/2010 10:52,6
85123A,12/5/2010 10:58,1
85123A,12/5/2010 11:12,3
85123A,12/5/2010 11:12,2
85123A,12/5/2010 11:40,2
85123A,12/5/2010 11:40,1
85123A,12/5/2010 11:45,6
85123A,12/5/2010 12:13,1
85123A,12/5/2010 12:13,128
85123A,12/5/2010 12:44,3
85123A,12/5/2010 13:00,1
85123A,12/5/2010 15:15,32
85123A,12/5/2010 16:24,12
85123A,12/6/2010 9:58,2
85123A,12/6/2010 10:05,6
85123A,12/6/2010 10:08,9
85123A,12/6/2010 10:19,6
85123A,12/6/2010 11:38,4
85123A,12/6/2010 11:58,24
85123A,12/6/2010 12:06,6
85123A,12/6/2010 13:35,12
85123A,12/6/2010 13:59,32
85123A,12/6/2010 14:05,2
85123A,12/6/2010 14:36,6
85123A,12/6/2010 15:14,32
85123A,12/6/2010 15:35,6
85123A,12/6/2010 16:57,14
85123A,12/7/2010 9:13,6
85123A,12/7/2010 9:51,32
85123A,12/7/2010 10:04,128
85123A,12/7/2010 11:30,32
85123A,12/7/2010 11:45,6
85123A,12/7/2010 12:45,-1
85123A,12/7/2010 13:01,32
85123A,12/7/2010 13:13,5
85123A,12/7/2010 13:16,19
85123A,12/7/2010 13:18,6
85123A,12/7/2010 13:28,6
85123A,12/7/2010 13:53,32
85123A,12/7/2010 15:28,4
85123A,12/7/2010 15:48,12
85123A,12/7/2010 16:20,6
85123A,12/7/2010 18:36,5
85123A,12/8/2010 8:58,12
85123A,12/8/2010 9:51,6
85123A,12/8/2010 11:16,3
85123A,12/8/2010 11:31,32
85123A,12/8/2010 12:06,1
85123A,12/8/2010 12:17,1
85123A,12/8/2010 12:17,2
85123A,12/8/2010 12:36,1
85123A,12/8/2010 13:03,12
85123A,12/8/2010 14:25,2
85123A,12/8/2010 14:43,12
85123A,12/8/2010 14:50,6
85123A,12/8/2010 15:12,5
85123A,12/8/2010 15:16,12
85123A,12/8/2010 16:45,32
85123A,12/8/2010 16:48,12
85123A,12/9/2010 8:34,6
85123A,12/9/2010 10:42,10
85123A,12/9/2010 11:28,14
85123A,12/9/2010 11:30,12
85123A,12/9/2010 12:13,32
85123A,12/9/2010 12:59,6
85123A,12/9/2010 13:03,8
85123A,12/9/2010 13:34,32
85123A,12/9/2010 13:47,8
85123A,12/9/2010 13:57,32
85123A,12/9/2010 14:09,7
85123A,12/9/2010 14:44,14
85123A,12/9/2010 14:55,1
85123A,12/9/2010 16:08,6
85123A,12/9/2010 16:57,4
85123A,12/9/2010 18:09,3
85123A,12/10/2010 9:48,64
85123A,12/10/2010 9:51,1
85123A,12/10/2010 10:18,6
85123A,12/10/2010 10:26,12
85123A,12/10/2010 10:47,5
85123A,12/10/2010 11:01,3
85123A,12/10/2010 12:14,4
85123A,12/10/2010 12:20,8
85123A,12/10/2010 12:29,32
85123A,12/10/2010 12:42,6
85123A,12/10/2010 13:06,6
85123A,12/10/2010 13:48,6
85123A,12/10/2010 14:59,12
85123A,12/10/2010 15:01,-1
85123A,12/12/2010 11:06,3
85123A,12/12/2010 11:17,2
85123A,12/12/2010 11:26,1
85123A,12/12/2010 11:26,2
85123A,12/12/2010 11:46,6
85123A,12/12/2010 12:18,3
85123A,12/12/2010 12:24,6
85123A,12/12/2010 12:35,3
85123A,12/12/2010 12:44,1
85123A,12/12/2010 13:32,6
85123A,12/12/2010 14:27,6
85123A,12/12/2010 16:14,3
85123A,12/13/2010 9:35,27
85123A,12/13/2010 10:24,12
85123A,12/13/2010 10:31,6
85123A,12/13/2010 10:31,32
85123A,12/13/2010 11:21,7
85123A,12/13/2010 11:47,4
85123A,12/13/2010 12:10,6
85123A,12/13/2010 12:57,13
85123A,12/13/2010 13:28,4
85123A,12/13/2010 13:32,2
85123A,12/13/2010 14:36,32
85123A,12/13/2010 15:46,64
85123A,12/13/2010 16:38,32
85123A,12/13/2010 17:40,96
85123A,12/14/2010 10:38,5
85123A,12/14/2010 10:48,12
85123A,12/14/2010 11:26,4
85123A,12/14/2010 11:48,4
85123A,12/14/2010 11:51,6
85123A,12/14/2010 12:58,64
85123A,12/14/2010 12:59,32
85123A,12/14/2010 13:03,6
85123A,12/14/2010 13:06,-1
85123A,12/14/2010 13:31,10
85123A,12/14/2010 13:32,32
85123A,12/14/2010 13:33,10
85123A,12/15/2010 10:54,6
85123A,12/15/2010 11:14,1
85123A,12/15/2010 11:26,4
85123A,12/15/2010 11:53,32
85123A,12/15/2010 12:05,32
85123A,12/15/2010 13:00,6
85123A,12/15/2010 13:24,2
85123A,12/15/2010 14:12,4
85123A,12/15/2010 14:25,24
85123A,12/15/2010 14:29,1
85123A,12/16/2010 8:39,12
85123A,12/16/2010 9:45,32
85123A,12/16/2010 9:46,6
85123A,12/16/2010 10:38,96
85123A,12/16/2010 10:43,12
85123A,12/16/2010 11:07,500
85123A,12/16/2010 12:09,12
85123A,12/16/2010 12:20,6
85123A,12/16/2010 13:02,12
85123A,12/16/2010 13:21,4
85123A,12/16/2010 15:45,12
85123A,12/16/2010 15:47,12
85123A,12/16/2010 16:36,6
85123A,12/16/2010 18:20,32
85123A,12/16/2010 19:04,4
85123A,12/16/2010 19:04,3
85123A,12/16/2010 19:16,24
85123A,12/16/2010 19:19,2
85123A,12/16/2010 19:19,3
85123A,12/17/2010 8:20,6
85123A,12/17/2010 9:37,-500
85123A,12/17/2010 11:30,6
85123A,12/17/2010 13:45,3
85123A,12/17/2010 14:41,4
85123A,12/17/2010 14:49,9
85123A,12/17/2010 14:54,7
85123A,12/17/2010 15:14,6
85123A,12/17/2010 16:53,6
85123A,12/17/2010 16:59,1
85123A,12/17/2010 17:08,5
85123A,12/17/2010 17:12,5
85123A,12/19/2010 14:03,2
85123A,12/19/2010 14:16,2
85123A,12/19/2010 14:58,6
85123A,12/19/2010 15:44,32
85123A,12/20/2010 11:08,6
85123A,12/20/2010 12:25,-24
85123A,12/20/2010 12:51,12
85123A,12/20/2010 13:10,32
85123A,12/20/2010 13:11,1
85123A,12/20/2010 13:21,32
85123A,12/20/2010 13:43,2
85123A,12/21/2010 9:34,6
85123A,12/21/2010 12:18,2
85123A,12/21/2010 13:06,3
85123A,12/21/2010 13:45,24
85123A,12/21/2010 14:54,6
85123A,12/22/2010 12:39,13
85123A,12/22/2010 13:20,-1
85123A,12/22/2010 13:39,6
85123A,12/22/2010 13:46,5
85123A,12/22/2010 14:41,1
85123A,12/23/2010 10:38,6
85123A,12/23/2010 11:06,4
85123A,12/23/2010 15:16,32
85123A,12/23/2010 16:06,5
85123A,1/4/2011 10:00,12
85123A,1/4/2011 11:34,6
85123A,1/4/2011 11:42,10
85123A,1/4/2011 13:25,1
85123A,1/4/2011 14:12,32
85123A,1/4/2011 14:21,4
85123A,1/4/2011 15:50,2
85123A,1/5/2011 10:08,32
85123A,1/5/2011 10:46,128
85123A,1/5/2011 10:51,12
85123A,1/5/2011 11:25,32
85123A,1/5/2011 11:52,7
85123A,1/5/2011 11:52,32
85123A,1/5/2011 12:29,1
85123A,1/5/2011 13:05,2
85123A,1/5/2011 13:05,6
85123A,1/5/2011 13:40,8
85123A,1/5/2011 13:57,3
85123A,1/5/2011 15:30,32
85123A,1/5/2011 15:40,-1
85123A,1/5/2011 15:56,3
85123A,1/5/2011 17:33,6
85123A,1/6/2011 9:00,12
85123A,1/6/2011 11:25,32
85123A,1/6/2011 12:18,32
85123A,1/6/2011 12:31,2
85123A,1/6/2011 12:45,2
85123A,1/6/2011 14:07,12
85123A,1/6/2011 15:41,32
85123A,1/6/2011 16:03,3
85123A,1/6/2011 16:35,12
85123A,1/6/2011 16:41,32
85123A,1/7/2011 9:32,-1
85123A,1/7/2011 9:55,250
85123A,1/7/2011 13:17,32
85123A,1/7/2011 13:39,12
85123A,1/7/2011 14:04,6
85123A,1/7/2011 14:21,24
85123A,1/7/2011 16:32,10
85123A,1/9/2011 11:02,2
85123A,1/9/2011 11:41,32
85123A,1/9/2011 11:43,6
85123A,1/9/2011 12:02,4
85123A,1/9/2011 12:53,15
85123A,1/9/2011 13:02,6
85123A,1/9/2011 14:02,6
85123A,1/9/2011 14:03,8
85123A,1/9/2011 14:42,12
85123A,1/9/2011 15:18,6
85123A,1/10/2011 9:44,6
85123A,1/10/2011 14:57,6
85123A,1/11/2011 8:43,1010
85123A,1/11/2011 9:12,6
85123A,1/11/2011 9:48,32
85123A,1/11/2011 10:04,24
85123A,1/11/2011 12:20,32
85123A,1/11/2011 12:41,2
85123A,1/11/2011 12:55,1930
85123A,1/11/2011 12:56,32
85123A,1/11/2011 14:00,12
85123A,1/11/2011 14:50,32
85123A,1/11/2011 15:02,-1
85123A,1/11/2011 15:42,2
85123A,1/12/2011 9:26,2
85123A,1/12/2011 10:58,6
85123A,1/12/2011 11:18,32
85123A,1/12/2011 11:52,12
85123A,1/12/2011 12:31,1
85123A,1/12/2011 13:16,1
85123A,1/12/2011 13:16,1
85123A,1/12/2011 13:27,4
85123A,1/12/2011 13:40,3
85123A,1/12/2011 15:01,1
85123A,1/12/2011 15:06,8
85123A,1/12/2011 15:25,6
85123A,1/12/2011 16:51,6
85123A,1/13/2011 9:30,1
85123A,1/13/2011 10:35,6
85123A,1/13/2011 14:29,1
85123A,1/14/2011 10:20,32
85123A,1/14/2011 12:23,32
85123A,1/14/2011 12:27,12
85123A,1/14/2011 13:42,12
85123A,1/14/2011 14:39,1
85123A,1/16/2011 11:08,2
85123A,1/16/2011 13:41,20
85123A,1/16/2011 15:50,1
85123A,1/17/2011 10:52,10
85123A,1/17/2011 11:28,12
85123A,1/17/2011 11:57,12
85123A,1/17/2011 12:34,6
85123A,1/17/2011 13:08,32
85123A,1/17/2011 13:21,62
85123A,1/17/2011 13:23,5
85123A,1/17/2011 14:18,6
85123A,1/17/2011 14:27,18
85123A,1/17/2011 16:14,3
85123A,1/17/2011 16:14,8
85123A,1/17/2011 16:20,-1
85123A,1/17/2011 17:54,24
85123A,1/17/2011 17:57,22
85123A,1/18/2011 8:53,6
85123A,1/18/2011 13:15,3
85123A,1/18/2011 15:37,6
85123A,1/18/2011 16:31,1
85123A,1/18/2011 16:39,2
85123A,1/19/2011 11:38,1
85123A,1/19/2011 11:48,3
85123A,1/19/2011 12:34,256
85123A,1/19/2011 14:43,6
85123A,1/19/2011 16:19,5
85123A,1/20/2011 12:11,6
85123A,1/20/2011 12:20,3
85123A,1/20/2011 12:20,3
85123A,1/20/2011 12:29,3
85123A,1/20/2011 14:01,12
85123A,1/20/2011 15:00,12
85123A,1/20/2011 18:08,3
85123A,1/21/2011 11:17,-3
85123A,1/21/2011 13:07,48
85123A,1/21/2011 15:36,12
85123A,1/21/2011 15:56,3
85123A,1/23/2011 10:43,32
85123A,1/23/2011 12:08,1
85123A,1/23/2011 12:08,2
85123A,1/23/2011 13:34,1
85123A,1/23/2011 14:59,1
85123A,1/23/2011 16:02,10
85123A,1/24/2011 9:39,2
85123A,1/24/2011 11:14,-1
85123A,1/24/2011 13:48,1
85123A,1/24/2011 14:54,6
85123A,1/24/2011 15:52,2
85123A,1/25/2011 10:20,12
85123A,1/25/2011 12:15,32
85123A,1/25/2011 13:26,18
85123A,1/25/2011 13:35,6
85123A,1/25/2011 13:38,6
85123A,1/25/2011 13:43,12
85123A,1/25/2011 15:36,6
85123A,1/26/2011 8:38,96
85123A,1/26/2011 11:14,6
85123A,1/26/2011 13:20,12
85123A,1/26/2011 13:40,6
85123A,1/26/2011 14:35,2
85123A,1/26/2011 14:35,2
85123A,1/26/2011 15:49,32
85123A,1/26/2011 16:43,6
85123A,1/26/2011 17:08,12
85123A,1/26/2011 17:37,9
85123A,1/27/2011 10:02,6
85123A,1/27/2011 10:30,32
85123A,1/27/2011 12:19,6
85123A,1/27/2011 12:40,2
85123A,1/27/2011 14:07,6
85123A,1/27/2011 14:45,6
85123A,1/27/2011 15:02,4
85123A,1/27/2011 15:36,2
85123A,1/28/2011 9:18,-3
85123A,1/28/2011 10:47,12
85123A,1/28/2011 11:27,12
85123A,1/28/2011 12:21,5
85123A,1/28/2011 13:08,6
85123A,1/28/2011 13:54,32
85123A,1/28/2011 14:25,1
85123A,1/30/2011 10:19,32
85123A,1/30/2011 12:09,2
85123A,1/30/2011 12:09,32
85123A,1/30/2011 13:36,20
85123A,1/30/2011 13:48,6
85123A,1/30/2011 13:51,4
85123A,1/30/2011 14:03,8
85123A,1/30/2011 14:13,6
85123A,1/30/2011 14:37,12
85123A,1/30/2011 15:52,1
85123A,1/31/2011 9:09,1
85123A,1/31/2011 9:41,24
85123A,1/31/2011 13:19,1
85123A,1/31/2011 14:07,1
85123A,1/31/2011 14:18,2
85123A,2/1/2011 8:31,6
85123A,2/1/2011 9:38,32
85123A,2/1/2011 10:38,32
85123A,2/1/2011 10:38,6
85123A,2/1/2011 10:49,-1
85123A,2/1/2011 11:20,33
85123A,2/1/2011 13:26,64
85123A,2/1/2011 13:47,3
85123A,2/1/2011 13:55,6
85123A,2/1/2011 15:12,1
85123A,2/1/2011 15:24,12
85123A,2/1/2011 15:38,-1
85123A,2/2/2011 9:08,6
85123A,2/2/2011 10:54,32
85123A,2/2/2011 11:01,32
85123A,2/2/2011 12:03,64
85123A,2/2/2011 12:53,4
85123A,2/2/2011 13:25,24
85123A,2/2/2011 13:35,3
85123A,2/2/2011 14:29,2
85123A,2/2/2011 14:37,6
85123A,2/2/2011 14:38,12
85123A,2/2/2011 14:39,24
85123A,2/2/2011 15:09,6
85123A,2/2/2011 15:26,6
85123A,2/2/2011 17:06,1
85123A,2/3/2011 9:42,6
85123A,2/3/2011 10:26,1
85123A,2/3/2011 11:41,4
85123A,2/3/2011 12:37,3
85123A,2/3/2011 12:44,2
85123A,2/3/2011 13:26,32
85123A,2/3/2011 14:08,6
85123A,2/3/2011 14:41,6
85123A,2/3/2011 19:58,3
85123A,2/4/2011 8:27,6
85123A,2/4/2011 9:34,12
85123A,2/4/2011 11:43,6
85123A,2/4/2011 12:40,12
85123A,2/4/2011 14:51,6
85123A,2/6/2011 11:11,2
85123A,2/6/2011 13:57,32
85123A,2/6/2011 16:08,1
85123A,2/7/2011 11:20,6
85123A,2/7/2011 11:42,32
85123A,2/7/2011 12:29,2
85123A,2/7/2011 13:15,8
85123A,2/7/2011 14:04,1
85123A,2/7/2011 14:33,12
85123A,2/7/2011 14:53,8
85123A,2/8/2011 10:12,6
85123A,2/8/2011 10:17,96
85123A,2/8/2011 10:47,6
85123A,2/8/2011 11:32,32
85123A,2/8/2011 11:36,6
85123A,2/8/2011 14:35,2
85123A,2/8/2011 15:09,5
85123A,2/9/2011 12:16,5
85123A,2/9/2011 14:44,6
85123A,2/9/2011 16:52,1
85123A,2/9/2011 16:57,2
85123A,2/10/2011 10:18,32
85123A,2/10/2011 11:57,9
85123A,2/10/2011 15:40,12
85123A,2/10/2011 16:17,4
85123A,2/10/2011 17:19,4
85123A,2/10/2011 19:44,5
85123A,2/11/2011 11:17,3
85123A,2/11/2011 11:31,150
85123A,2/11/2011 12:22,12
85123A,2/11/2011 12:36,12
85123A,2/11/2011 15:56,32
85123A,2/11/2011 17:13,-1
85123A,2/13/2011 12:03,4
85123A,2/13/2011 12:05,2
85123A,2/14/2011 9:41,1
85123A,2/14/2011 11:57,64
85123A,2/14/2011 12:32,1
85123A,2/15/2011 12:48,12
85123A,2/16/2011 9:56,32
85123A,2/16/2011 10:25,6
85123A,2/16/2011 10:47,6
85123A,2/16/2011 12:11,5
85123A,2/16/2011 12:47,12
85123A,2/16/2011 12:49,1
85123A,2/16/2011 12:49,3
85123A,2/16/2011 13:11,6
85123A,2/16/2011 13:14,18
85123A,2/16/2011 13:16,96
85123A,2/16/2011 14:18,6
85123A,2/16/2011 14:27,12
85123A,2/17/2011 10:04,12
85123A,2/17/2011 11:01,6
85123A,2/17/2011 12:29,7
85123A,2/17/2011 12:42,12
85123A,2/17/2011 13:28,4
85123A,2/17/2011 15:03,3
85123A,2/17/2011 15:50,6
85123A,2/18/2011 8:34,6
85123A,2/20/2011 11:39,12
85123A,2/20/2011 15:06,16
85123A,2/21/2011 8:33,6
85123A,2/21/2011 15:04,8
85123A,2/21/2011 17:42,3
85123A,2/21/2011 18:15,3
85123A,2/21/2011 18:15,3
85123A,2/22/2011 13:08,6
85123A,2/22/2011 13:59,12
85123A,2/22/2011 15:00,3
85123A,2/22/2011 15:09,64
85123A,2/22/2011 15:14,6
85123A,2/22/2011 16:13,1
85123A,2/22/2011 16:28,3
85123A,2/22/2011 16:32,1
85123A,2/23/2011 8:48,32
85123A,2/23/2011 12:27,6
85123A,2/23/2011 12:37,32
85123A,2/23/2011 13:37,8
85123A,2/23/2011 15:53,32
85123A,2/23/2011 15:58,1
85123A,2/23/2011 16:23,1
85123A,2/23/2011 16:23,4
85123A,2/24/2011 9:32,6
85123A,2/24/2011 10:25,24
85123A,2/24/2011 13:43,6
85123A,2/24/2011 14:15,6
85123A,2/24/2011 15:41,12
85123A,2/24/2011 17:50,6
85123A,2/24/2011 18:07,3
85123A,2/24/2011 18:59,36
85123A,2/25/2011 10:10,10
85123A,2/25/2011 11:30,18
85123A,2/25/2011 13:40,6
85123A,2/25/2011 14:11,6
85123A,2/27/2011 10:02,12
85123A,2/27/2011 11:05,2
85123A,2/27/2011 11:40,6
85123A,2/27/2011 11:48,2
85123A,2/27/2011 12:41,2
85123A,2/27/2011 14:49,3
85123A,2/28/2011 9:43,6
85123A,2/28/2011 10:30,2
85123A,2/28/2011 11:19,1
85123A,2/28/2011 11:19,2
85123A,2/28/2011 12:14,6
85123A,2/28/2011 13:27,6
85123A,2/28/2011 13:40,6
85123A,2/28/2011 16:47,1
85123A,2/28/2011 16:47,7
85123A,3/1/2011 9:33,6
85123A,3/1/2011 10:19,12
85123A,3/1/2011 10:26,12
85123A,3/1/2011 13:19,3
85123A,3/1/2011 13:40,12
85123A,3/1/2011 13:55,32
85123A,3/1/2011 14:58,5
85123A,3/1/2011 16:22,2
85123A,3/1/2011 16:22,2
85123A,3/2/2011 12:18,6
85123A,3/2/2011 14:39,3
85123A,3/2/2011 14:50,18
85123A,3/2/2011 16:26,6
85123A,3/3/2011 9:10,2
85123A,3/3/2011 9:10,11
85123A,3/3/2011 11:34,2
85123A,3/3/2011 14:05,12
85123A,3/3/2011 14:43,6
85123A,3/3/2011 15:31,2
85123A,3/3/2011 16:22,17
85123A,3/3/2011 16:34,32
85123A,3/3/2011 19:21,12
85123A,3/4/2011 10:03,6
85123A,3/4/2011 13:14,1
85123A,3/4/2011 13:58,1
85123A,3/4/2011 14:02,6
85123A,3/4/2011 14:13,2
85123A,3/4/2011 14:28,11
85123A,3/6/2011 11:28,10
85123A,3/6/2011 11:50,4
85123A,3/6/2011 11:55,3
85123A,3/6/2011 12:46,3
85123A,3/6/2011 12:52,4
85123A,3/6/2011 14:21,4
85123A,3/6/2011 14:38,2
85123A,3/6/2011 15:17,64
85123A,3/6/2011 15:21,7
85123A,3/7/2011 12:00,6
85123A,3/7/2011 13:49,-8
85123A,3/7/2011 13:50,5
85123A,3/7/2011 13:51,6
85123A,3/7/2011 17:14,9
85123A,3/8/2011 8:53,6
85123A,3/8/2011 11:39,32
85123A,3/8/2011 13:23,81
85123A,3/8/2011 15:43,3
85123A,3/8/2011 16:48,12
85123A,3/8/2011 17:23,11
85123A,3/9/2011 8:09,12
85123A,3/9/2011 8:33,24
85123A,3/9/2011 10:51,2
85123A,3/9/2011 11:59,32
85123A,3/9/2011 12:04,6
85123A,3/9/2011 12:39,2
85123A,3/9/2011 13:18,2
85123A,3/9/2011 13:50,12
85123A,3/9/2011 13:56,6
85123A,3/10/2011 10:03,6
85123A,3/10/2011 12:50,6
85123A,3/10/2011 12:59,6
85123A,3/10/2011 13:46,6
85123A,3/10/2011 14:14,12
85123A,3/10/2011 14:42,12
85123A,3/10/2011 14:56,6
85123A,3/10/2011 15:01,1
85123A,3/10/2011 16:16,2
85123A,3/11/2011 9:20,100
85123A,3/11/2011 9:39,6
85123A,3/11/2011 12:44,10
85123A,3/11/2011 14:15,3
85123A,3/11/2011 14:58,6
85123A,3/13/2011 12:39,1
85123A,3/13/2011 13:46,2
85123A,3/14/2011 10:31,6
85123A,3/14/2011 11:04,7
85123A,3/14/2011 12:27,-1
85123A,3/14/2011 16:46,6
85123A,3/15/2011 9:13,12
85123A,3/15/2011 9:22,32
85123A,3/15/2011 10:45,6
85123A,3/15/2011 11:09,18
85123A,3/15/2011 12:06,32
85123A,3/15/2011 12:56,6
85123A,3/15/2011 13:49,2
85123A,3/15/2011 14:36,6
85123A,3/16/2011 10:24,64
85123A,3/16/2011 10:45,32
85123A,3/16/2011 11:39,32
85123A,3/16/2011 11:41,5
85123A,3/16/2011 13:00,2
85123A,3/16/2011 16:08,6
85123A,3/17/2011 9:49,6
85123A,3/17/2011 10:01,32
85123A,3/17/2011 12:37,6
85123A,3/17/2011 13:13,2
85123A,3/17/2011 14:19,32
85123A,3/17/2011 15:47,4
85123A,3/17/2011 18:15,1
85123A,3/17/2011 18:18,1
85123A,3/17/2011 20:18,3
85123A,3/18/2011 9:59,6
85123A,3/18/2011 10:16,6
85123A,3/18/2011 11:02,1
85123A,3/18/2011 11:22,1
85123A,3/18/2011 12:55,6
85123A,3/18/2011 13:19,5
85123A,3/18/2011 13:47,32
85123A,3/20/2011 10:13,4
85123A,3/20/2011 11:00,2
85123A,3/20/2011 11:56,6
85123A,3/20/2011 12:07,5
85123A,3/20/2011 12:14,3
85123A,3/20/2011 12:50,5
85123A,3/20/2011 13:33,10
85123A,3/20/2011 14:23,3
85123A,3/20/2011 15:02,2
85123A,3/20/2011 15:21,6
85123A,3/20/2011 15:21,1
85123A,3/21/2011 10:30,6
85123A,3/21/2011 14:44,32
85123A,3/22/2011 9:01,32
85123A,3/22/2011 9:27,1
85123A,3/22/2011 10:13,6
85123A,3/22/2011 10:44,6
85123A,3/22/2011 11:43,6
85123A,3/22/2011 12:02,6
85123A,3/22/2011 12:15,6
85123A,3/22/2011 12:25,3
85123A,3/22/2011 12:36,12
85123A,3/22/2011 15:48,4
85123A,3/22/2011 15:52,2
85123A,3/23/2011 9:43,12
85123A,3/23/2011 10:25,6
85123A,3/23/2011 11:16,3
85123A,3/23/2011 11:44,6
85123A,3/23/2011 12:05,6
85123A,3/23/2011 12:13,12
85123A,3/23/2011 12:24,1
85123A,3/23/2011 12:39,32
85123A,3/23/2011 15:30,1
85123A,3/23/2011 16:45,4
85123A,3/24/2011 10:48,12
85123A,3/24/2011 11:38,6
85123A,3/24/2011 12:02,6
85123A,3/24/2011 12:11,4
85123A,3/24/2011 12:52,6
85123A,3/24/2011 12:53,2
85123A,3/24/2011 13:41,1
85123A,3/24/2011 13:41,3
85123A,3/24/2011 13:41,6
85123A,3/24/2011 18:43,6
85123A,3/25/2011 8:41,6
85123A,3/25/2011 10:14,6
85123A,3/25/2011 11:44,1
85123A,3/25/2011 12:00,4
85123A,3/25/2011 15:24,6
85123A,3/25/2011 15:50,6
85123A,3/25/2011 17:34,2
85123A,3/27/2011 10:26,7
85123A,3/27/2011 10:54,32
85123A,3/27/2011 11:14,6
85123A,3/27/2011 12:21,6
85123A,3/27/2011 13:10,6
85123A,3/27/2011 14:28,3
85123A,3/27/2011 14:34,6
85123A,3/27/2011 15:39,5
85123A,3/27/2011 16:08,6
85123A,3/28/2011 9:21,6
85123A,3/28/2011 11:34,1
85123A,3/28/2011 12:23,6
85123A,3/28/2011 13:28,12
85123A,3/28/2011 14:57,18
85123A,3/28/2011 15:49,1
85123A,3/29/2011 9:53,6
85123A,3/29/2011 10:51,6
85123A,3/29/2011 11:15,12
85123A,3/29/2011 12:29,64
85123A,3/29/2011 14:35,12
85123A,3/29/2011 14:58,12
85123A,3/29/2011 15:02,72
85123A,3/29/2011 15:12,1
85123A,3/30/2011 9:19,6
85123A,3/30/2011 9:31,32
85123A,3/30/2011 12:12,4
85123A,3/30/2011 13:05,10
85123A,3/30/2011 13:28,12
85123A,3/30/2011 16:34,1
85123A,3/30/2011 17:33,3
85123A,3/31/2011 9:48,6
85123A,3/31/2011 11:20,32
85123A,3/31/2011 11:37,12
85123A,3/31/2011 12:36,12
85123A,3/31/2011 12:43,2
85123A,3/31/2011 13:49,4
85123A,3/31/2011 15:54,-8
85123A,3/31/2011 16:28,4
85123A,3/31/2011 16:28,3
85123A,4/1/2011 8:22,6
85123A,4/1/2011 9:06,12
85123A,4/1/2011 10:10,32
85123A,4/1/2011 10:11,6
85123A,4/1/2011 11:28,1
85123A,4/1/2011 12:09,6
85123A,4/1/2011 12:25,6
85123A,4/1/2011 12:29,12
85123A,4/1/2011 13:20,12
